Tipo de jornada;Comunidades y Ciudades Autonómas;Decil;Periodo;Total
Total;14 Murcia, Región de;8;2022;2.609,35
Total;14 Murcia, Región de;8;2021;2.572,33
Total;14 Murcia, Región de;9;2022;3.172,21
Total;14 Murcia, Región de;9;2021;3.148,66
Total;14 Murcia, Región de;10;2022;4.900,80
Total;14 Murcia, Región de;10;2021;4.998,23
Total;15 Navarra, Comunidad Foral de;Total decil;2022;2.285,45
Total;15 Navarra, Comunidad Foral de;Total decil;2021;2.250,35
Total;15 Navarra, Comunidad Foral de;1;2022;652,54
Total;15 Navarra, Comunidad Foral de;1;2021;585,43
Total;15 Navarra, Comunidad Foral de;2;2022;1.094,62
Total;15 Navarra, Comunidad Foral de;2;2021;1.003,00
Total;15 Navarra, Comunidad Foral de;3;2022;1.346,13
Total;15 Navarra, Comunidad Foral de;3;2021;1.278,36
Total;15 Navarra, Comunidad Foral de;4;2022;1.524,06
Total;15 Navarra, Comunidad Foral de;4;2021;1.464,16
Total;15 Navarra, Comunidad Foral de;5;2022;1.734,24
Total;15 Navarra, Comunidad Foral de;5;2021;1.665,75
Total;15 Navarra, Comunidad Foral de;6;2022;1.914,99
Total;15 Navarra, Comunidad Foral de;6;2021;1.879,54
Total;15 Navarra, Comunidad Foral de;7;2022;2.224,24
Total;15 Navarra, Comunidad Foral de;7;2021;2.164,96
Total;15 Navarra, Comunidad Foral de;8;2022;2.596,71
Total;15 Navarra, Comunidad Foral de;8;2021;2.567,44
Total;15 Navarra, Comunidad Foral de;9;2022;3.203,57
Total;15 Navarra, Comunidad Foral de;9;2021;3.146,36
Total;15 Navarra, Comunidad Foral de;10;2022;4.701,68
Total;15 Navarra, Comunidad Foral de;10;2021;4.994,58
Total;16 País Vasco;Total decil;2022;2.545,83
Total;16 País Vasco;Total decil;2021;2.452,89
Total;16 País Vasco;1;2022;602,42
Total;16 País Vasco;1;2021;532,31
Total;16 País Vasco;2;2022;1.108,75
Total;16 País Vasco;2;2021;1.044,88
Total;16 País Vasco;3;2022;1.337,03
Total;16 País Vasco;3;2021;1.277,26
Total;16 País Vasco;4;2022;1.527,87
Total;16 País Vasco;4;2021;1.460,27
Total;16 País Vasco;5;2022;1.726,32
Total;16 País Vasco;5;2021;1.652,53
Total;16 País Vasco;6;2022;1.931,45
Total;16 País Vasco;6;2021;1.882,85
Total;16 País Vasco;7;2022;2.195,75
Total;16 País Vasco;7;2021;2.152,63
Total;16 País Vasco;8;2022;2.591,26
Total;16 País Vasco;8;2021;2.582,74
Total;16 País Vasco;9;2022;3.241,69
Total;16 País Vasco;9;2021;3.203,36
Total;16 País Vasco;10;2022;4.981,75
Total;16 País Vasco;10;2021;4.973,70
Total;17 Rioja, La;Total decil;2022;2.084,79
Total;17 Rioja, La;Total decil;2021;1.982,28
Total;17 Rioja, La;1;2022;682,37
Total;17 Rioja, La;1;2021;582,89
Total;17 Rioja, La;2;2022;1.133,78
Total;17 Rioja, La;2;2021;1.018,69
Total;17 Rioja, La;3;2022;1.345,28
Total;17 Rioja, La;3;2021;1.259,33
Total;17 Rioja, La;4;2022;1.526,74
Total;17 Rioja, La;4;2021;1.471,40
Total;17 Rioja, La;5;2022;1.717,66
Total;17 Rioja, La;5;2021;1.662,46
Total;17 Rioja, La;6;2022;1.921,57
Total;17 Rioja, La;6;2021;1.876,99
Total;17 Rioja, La;7;2022;2.197,94
Total;17 Rioja, La;7;2021;2.152,73
Total;17 Rioja, La;8;2022;2.600,52
Total;17 Rioja, La;8;2021;2.570,96
Total;17 Rioja, La;9;2022;3.230,29
Total;17 Rioja, La;9;2021;3.180,21
Total;17 Rioja, La;10;2022;5.035,10
Total;17 Rioja, La;10;2021;4.641,79
Total;18 Ceuta;Total decil;2022;2.232,79
