Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Tamaño del hogar;Año;Total
Total Nacional;01 Andalucía;23 Jaén;Total;2021;245.262
Total Nacional;01 Andalucía;23 Jaén;Total;2020;245.323
Total Nacional;01 Andalucía;23 Jaén;1 persona;2023;62.241
Total Nacional;01 Andalucía;23 Jaén;1 persona;2022;61.726
Total Nacional;01 Andalucía;23 Jaén;1 persona;2021;61.246
Total Nacional;01 Andalucía;23 Jaén;1 persona;2020;60.380
Total Nacional;01 Andalucía;23 Jaén;2 personas;2023;72.278
Total Nacional;01 Andalucía;23 Jaén;2 personas;2022;71.619
Total Nacional;01 Andalucía;23 Jaén;2 personas;2021;70.922
Total Nacional;01 Andalucía;23 Jaén;2 personas;2020;70.208
Total Nacional;01 Andalucía;23 Jaén;3 personas;2023;48.998
Total Nacional;01 Andalucía;23 Jaén;3 personas;2022;49.219
Total Nacional;01 Andalucía;23 Jaén;3 personas;2021;49.420
Total Nacional;01 Andalucía;23 Jaén;3 personas;2020;49.666
Total Nacional;01 Andalucía;23 Jaén;4 personas;2023;50.631
Total Nacional;01 Andalucía;23 Jaén;4 personas;2022;51.563
Total Nacional;01 Andalucía;23 Jaén;4 personas;2021;52.503
Total Nacional;01 Andalucía;23 Jaén;4 personas;2020;53.479
Total Nacional;01 Andalucía;23 Jaén;5 personas o más;2023;10.372
Total Nacional;01 Andalucía;23 Jaén;5 personas o más;2022;10.765
Total Nacional;01 Andalucía;23 Jaén;5 personas o más;2021;11.171
Total Nacional;01 Andalucía;23 Jaén;5 personas o más;2020;11.590
Total Nacional;01 Andalucía;23 Jaén;Tamaño medio;2023;2,49
Total Nacional;01 Andalucía;23 Jaén;Tamaño medio;2022;2,51
Total Nacional;01 Andalucía;23 Jaén;Tamaño medio;2021;2,52
Total Nacional;01 Andalucía;23 Jaén;Tamaño medio;2020;2,54
Total Nacional;01 Andalucía;29 Málaga;Total;2023;663.200
Total Nacional;01 Andalucía;29 Málaga;Total;2022;658.464
Total Nacional;01 Andalucía;29 Málaga;Total;2021;653.910
Total Nacional;01 Andalucía;29 Málaga;Total;2020;649.522
Total Nacional;01 Andalucía;29 Málaga;1 persona;2023;166.250
Total Nacional;01 Andalucía;29 Málaga;1 persona;2022;164.043
Total Nacional;01 Andalucía;29 Málaga;1 persona;2021;162.065
Total Nacional;01 Andalucía;29 Málaga;1 persona;2020;159.981
Total Nacional;01 Andalucía;29 Málaga;2 personas;2023;202.474
Total Nacional;01 Andalucía;29 Málaga;2 personas;2022;199.914
Total Nacional;01 Andalucía;29 Málaga;2 personas;2021;197.404
Total Nacional;01 Andalucía;29 Málaga;2 personas;2020;195.113
Total Nacional;01 Andalucía;29 Málaga;3 personas;2023;134.108
Total Nacional;01 Andalucía;29 Málaga;3 personas;2022;133.969
Total Nacional;01 Andalucía;29 Málaga;3 personas;2021;133.795
Total Nacional;01 Andalucía;29 Málaga;3 personas;2020;133.691
Total Nacional;01 Andalucía;29 Málaga;4 personas;2023;117.176
Total Nacional;01 Andalucía;29 Málaga;4 personas;2022;117.474
Total Nacional;01 Andalucía;29 Málaga;4 personas;2021;117.718
