Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Tamaño del hogar;Año;Total
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Total;2022;233.081
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Total;2021;232.418
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Total;2020;231.688
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;1 persona;2023;63.652
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;1 persona;2022;62.803
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;1 persona;2021;61.970
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;1 persona;2020;61.006
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;2 personas;2023;71.333
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;2 personas;2022;70.945
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;2 personas;2021;70.572
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;2 personas;2020;70.224
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;3 personas;2023;49.291
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;3 personas;2022;49.648
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;3 personas;2021;50.003
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;3 personas;2020;50.391
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;4 personas;2023;38.599
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;4 personas;2022;38.895
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;4 personas;2021;39.170
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;4 personas;2020;39.456
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;5 personas o más;2023;10.871
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;5 personas o más;2022;10.790
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;5 personas o más;2021;10.703
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;5 personas o más;2020;10.611
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Tamaño medio;2023;2,44
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Tamaño medio;2022;2,44
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Tamaño medio;2021;2,45
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Tamaño medio;2020;2,46
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Total;2023;1.037.864
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Total;2022;1.035.004
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Total;2021;1.032.283
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Total;2020;1.029.346
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;1 persona;2023;281.812
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;1 persona;2022;278.900
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;1 persona;2021;276.198
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;1 persona;2020;272.763
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;2 personas;2023;310.153
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;2 personas;2022;308.045
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;2 personas;2021;305.912
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;2 personas;2020;304.061
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;3 personas;2023;219.248
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;3 personas;2022;220.456
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;3 personas;2021;221.652
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;3 personas;2020;223.062
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;4 personas;2023;175.250
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;4 personas;2022;176.600
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;4 personas;2021;177.924
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;4 personas;2020;179.287
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;5 personas o más;2023;51.401
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;5 personas o más;2022;51.003
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;5 personas o más;2021;50.597
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;5 personas o más;2020;50.173
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Tamaño medio;2023;2,46
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Tamaño medio;2022;2,46
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Tamaño medio;2021;2,47
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Tamaño medio;2020;2,48
Total Nacional;11 Extremadura;;Total;2023;432.428
Total Nacional;11 Extremadura;;Total;2022;432.097
Total Nacional;11 Extremadura;;Total;2021;431.860
Total Nacional;11 Extremadura;;Total;2020;431.645
Total Nacional;11 Extremadura;;1 persona;2023;121.780
Total Nacional;11 Extremadura;;1 persona;2022;119.956
Total Nacional;11 Extremadura;;1 persona;2021;118.264
Total Nacional;11 Extremadura;;1 persona;2020;116.305
Total Nacional;11 Extremadura;;2 personas;2023;134.337
Total Nacional;11 Extremadura;;2 personas;2022;133.107
Total Nacional;11 Extremadura;;2 personas;2021;131.870
Total Nacional;11 Extremadura;;2 personas;2020;130.782
Total Nacional;11 Extremadura;;3 personas;2023;84.446
Total Nacional;11 Extremadura;;3 personas;2022;85.197
Total Nacional;11 Extremadura;;3 personas;2021;85.915
Total Nacional;11 Extremadura;;3 personas;2020;86.703
Total Nacional;11 Extremadura;;4 personas;2023;75.808
Total Nacional;11 Extremadura;;4 personas;2022;77.240
Total Nacional;11 Extremadura;;4 personas;2021;78.659
Total Nacional;11 Extremadura;;4 personas;2020;80.127
Total Nacional;11 Extremadura;;5 personas o más;2023;16.057
Total Nacional;11 Extremadura;;5 personas o más;2022;16.597
Total Nacional;11 Extremadura;;5 personas o más;2021;17.152
Total Nacional;11 Extremadura;;5 personas o más;2020;17.728
Total Nacional;11 Extremadura;;Tamaño medio;2023;2,38
Total Nacional;11 Extremadura;;Tamaño medio;2022;2,39
Total Nacional;11 Extremadura;;Tamaño medio;2021;2,41
Total Nacional;11 Extremadura;;Tamaño medio;2020;2,43
Total Nacional;11 Extremadura;06 Badajoz;Total;2023;268.787
Total Nacional;11 Extremadura;06 Badajoz;Total;2022;268.145
Total Nacional;11 Extremadura;06 Badajoz;Total;2021;267.544
Total Nacional;11 Extremadura;06 Badajoz;Total;2020;266.855
Total Nacional;11 Extremadura;06 Badajoz;1 persona;2023;72.410
Total Nacional;11 Extremadura;06 Badajoz;1 persona;2022;71.160
Total Nacional;11 Extremadura;06 Badajoz;1 persona;2021;70.010
Total Nacional;11 Extremadura;06 Badajoz;1 persona;2020;68.628
Total Nacional;11 Extremadura;06 Badajoz;2 personas;2023;80.413
Total Nacional;11 Extremadura;06 Badajoz;2 personas;2022;79.447
Total Nacional;11 Extremadura;06 Badajoz;2 personas;2021;78.457
Total Nacional;11 Extremadura;06 Badajoz;2 personas;2020;77.542
Total Nacional;11 Extremadura;06 Badajoz;3 personas;2023;54.254
Total Nacional;11 Extremadura;06 Badajoz;3 personas;2022;54.559
Total Nacional;11 Extremadura;06 Badajoz;3 personas;2021;54.834
Total Nacional;11 Extremadura;06 Badajoz;3 personas;2020;55.145
Total Nacional;11 Extremadura;06 Badajoz;4 personas;2023;50.747
Total Nacional;11 Extremadura;06 Badajoz;4 personas;2022;51.619
Total Nacional;11 Extremadura;06 Badajoz;4 personas;2021;52.475
Total Nacional;11 Extremadura;06 Badajoz;4 personas;2020;53.350
Total Nacional;11 Extremadura;06 Badajoz;5 personas o más;2023;10.963
Total Nacional;11 Extremadura;06 Badajoz;5 personas o más;2022;11.360
Total Nacional;11 Extremadura;06 Badajoz;5 personas o más;2021;11.768
Total Nacional;11 Extremadura;06 Badajoz;5 personas o más;2020;12.190
Total Nacional;11 Extremadura;06 Badajoz;Tamaño medio;2023;2,43
Total Nacional;11 Extremadura;06 Badajoz;Tamaño medio;2022;2,45
Total Nacional;11 Extremadura;06 Badajoz;Tamaño medio;2021;2,47
Total Nacional;11 Extremadura;06 Badajoz;Tamaño medio;2020;2,49
Total Nacional;11 Extremadura;10 Cáceres;Total;2023;163.641
Total Nacional;11 Extremadura;10 Cáceres;Total;2022;163.952
Total Nacional;11 Extremadura;10 Cáceres;Total;2021;164.316
Total Nacional;11 Extremadura;10 Cáceres;Total;2020;164.790
Total Nacional;11 Extremadura;10 Cáceres;1 persona;2023;49.370
Total Nacional;11 Extremadura;10 Cáceres;1 persona;2022;48.796
Total Nacional;11 Extremadura;10 Cáceres;1 persona;2021;48.254
Total Nacional;11 Extremadura;10 Cáceres;1 persona;2020;47.677
Total Nacional;11 Extremadura;10 Cáceres;2 personas;2023;53.924
Total Nacional;11 Extremadura;10 Cáceres;2 personas;2022;53.660
Total Nacional;11 Extremadura;10 Cáceres;2 personas;2021;53.413
Total Nacional;11 Extremadura;10 Cáceres;2 personas;2020;53.240
Total Nacional;11 Extremadura;10 Cáceres;3 personas;2023;30.192
Total Nacional;11 Extremadura;10 Cáceres;3 personas;2022;30.638
Total Nacional;11 Extremadura;10 Cáceres;3 personas;2021;31.081
Total Nacional;11 Extremadura;10 Cáceres;3 personas;2020;31.558
Total Nacional;11 Extremadura;10 Cáceres;4 personas;2023;25.061
Total Nacional;11 Extremadura;10 Cáceres;4 personas;2022;25.621
Total Nacional;11 Extremadura;10 Cáceres;4 personas;2021;26.184
Total Nacional;11 Extremadura;10 Cáceres;4 personas;2020;26.777
Total Nacional;11 Extremadura;10 Cáceres;5 personas o más;2023;5.094
Total Nacional;11 Extremadura;10 Cáceres;5 personas o más;2022;5.237
Total Nacional;11 Extremadura;10 Cáceres;5 personas o más;2021;5.384
Total Nacional;11 Extremadura;10 Cáceres;5 personas o más;2020;5.538
Total Nacional;11 Extremadura;10 Cáceres;Tamaño medio;2023;2,29
Total Nacional;11 Extremadura;10 Cáceres;Tamaño medio;2022;2,30
Total Nacional;11 Extremadura;10 Cáceres;Tamaño medio;2021;2,32
Total Nacional;11 Extremadura;10 Cáceres;Tamaño medio;2020;2,33
Total Nacional;12 Galicia;;Total;2023;1.090.859
Total Nacional;12 Galicia;;Total;2022;1.091.275
Total Nacional;12 Galicia;;Total;2021;1.091.575
Total Nacional;12 Galicia;;Total;2020;1.091.843
Total Nacional;12 Galicia;;1 persona;2023;294.902
Total Nacional;12 Galicia;;1 persona;2022;291.780
Total Nacional;12 Galicia;;1 persona;2021;288.576
Total Nacional;12 Galicia;;1 persona;2020;285.278
Total Nacional;12 Galicia;;2 personas;2023;343.194
Total Nacional;12 Galicia;;2 personas;2022;341.934
Total Nacional;12 Galicia;;2 personas;2021;340.589
Total Nacional;12 Galicia;;2 personas;2020;339.242
Total Nacional;12 Galicia;;3 personas;2023;235.631
Total Nacional;12 Galicia;;3 personas;2022;237.299
Total Nacional;12 Galicia;;3 personas;2021;238.982
Total Nacional;12 Galicia;;3 personas;2020;240.705
Total Nacional;12 Galicia;;4 personas;2023;159.044
Total Nacional;12 Galicia;;4 personas;2022;160.870
Total Nacional;12 Galicia;;4 personas;2021;162.698
Total Nacional;12 Galicia;;4 personas;2020;164.535
Total Nacional;12 Galicia;;5 personas o más;2023;58.088
Total Nacional;12 Galicia;;5 personas o más;2022;59.392
Total Nacional;12 Galicia;;5 personas o más;2021;60.730
Total Nacional;12 Galicia;;5 personas o más;2020;62.083
Total Nacional;12 Galicia;;Tamaño medio;2023;2,42
Total Nacional;12 Galicia;;Tamaño medio;2022;2,43
Total Nacional;12 Galicia;;Tamaño medio;2021;2,44
Total Nacional;12 Galicia;;Tamaño medio;2020;2,45
Total Nacional;12 Galicia;15 Coruña, A;Total;2023;451.765
Total Nacional;12 Galicia;15 Coruña, A;Total;2022;451.977
Total Nacional;12 Galicia;15 Coruña, A;Total;2021;452.114
Total Nacional;12 Galicia;15 Coruña, A;Total;2020;452.360
Total Nacional;12 Galicia;15 Coruña, A;1 persona;2023;120.773
Total Nacional;12 Galicia;15 Coruña, A;1 persona;2022;119.806
Total Nacional;12 Galicia;15 Coruña, A;1 persona;2021;118.816
Total Nacional;12 Galicia;15 Coruña, A;1 persona;2020;117.851
Total Nacional;12 Galicia;15 Coruña, A;2 personas;2023;141.142
Total Nacional;12 Galicia;15 Coruña, A;2 personas;2022;140.695
Total Nacional;12 Galicia;15 Coruña, A;2 personas;2021;140.204
Total Nacional;12 Galicia;15 Coruña, A;2 personas;2020;139.754
Total Nacional;12 Galicia;15 Coruña, A;3 personas;2023;98.481
Total Nacional;12 Galicia;15 Coruña, A;3 personas;2022;99.049
Total Nacional;12 Galicia;15 Coruña, A;3 personas;2021;99.607
Total Nacional;12 Galicia;15 Coruña, A;3 personas;2020;100.196
Total Nacional;12 Galicia;15 Coruña, A;4 personas;2023;66.704
Total Nacional;12 Galicia;15 Coruña, A;4 personas;2022;67.301
Total Nacional;12 Galicia;15 Coruña, A;4 personas;2021;67.892
Total Nacional;12 Galicia;15 Coruña, A;4 personas;2020;68.489
Total Nacional;12 Galicia;15 Coruña, A;5 personas o más;2023;24.665
Total Nacional;12 Galicia;15 Coruña, A;5 personas o más;2022;25.126
Total Nacional;12 Galicia;15 Coruña, A;5 personas o más;2021;25.595
Total Nacional;12 Galicia;15 Coruña, A;5 personas o más;2020;26.070
Total Nacional;12 Galicia;15 Coruña, A;Tamaño medio;2023;2,44
Total Nacional;12 Galicia;15 Coruña, A;Tamaño medio;2022;2,45
Total Nacional;12 Galicia;15 Coruña, A;Tamaño medio;2021;2,46
Total Nacional;12 Galicia;15 Coruña, A;Tamaño medio;2020;2,46
Total Nacional;12 Galicia;27 Lugo;Total;2023;135.116
Total Nacional;12 Galicia;27 Lugo;Total;2022;135.590
Total Nacional;12 Galicia;27 Lugo;Total;2021;136.073
Total Nacional;12 Galicia;27 Lugo;Total;2020;136.545
Total Nacional;12 Galicia;27 Lugo;1 persona;2023;38.969
Total Nacional;12 Galicia;27 Lugo;1 persona;2022;38.653
Total Nacional;12 Galicia;27 Lugo;1 persona;2021;38.323
Total Nacional;12 Galicia;27 Lugo;1 persona;2020;37.964
Total Nacional;12 Galicia;27 Lugo;2 personas;2023;43.941
Total Nacional;12 Galicia;27 Lugo;2 personas;2022;43.915
Total Nacional;12 Galicia;27 Lugo;2 personas;2021;43.889
Total Nacional;12 Galicia;27 Lugo;2 personas;2020;43.857
Total Nacional;12 Galicia;27 Lugo;3 personas;2023;28.426
Total Nacional;12 Galicia;27 Lugo;3 personas;2022;28.718
Total Nacional;12 Galicia;27 Lugo;3 personas;2021;29.018
Total Nacional;12 Galicia;27 Lugo;3 personas;2020;29.322
Total Nacional;12 Galicia;27 Lugo;4 personas;2023;16.829
Total Nacional;12 Galicia;27 Lugo;4 personas;2022;17.143
Total Nacional;12 Galicia;27 Lugo;4 personas;2021;17.463
Total Nacional;12 Galicia;27 Lugo;4 personas;2020;17.795
Total Nacional;12 Galicia;27 Lugo;5 personas o más;2023;6.951
Total Nacional;12 Galicia;27 Lugo;5 personas o más;2022;7.161
Total Nacional;12 Galicia;27 Lugo;5 personas o más;2021;7.380
Total Nacional;12 Galicia;27 Lugo;5 personas o más;2020;7.607
Total Nacional;12 Galicia;27 Lugo;Tamaño medio;2023;2,34
Total Nacional;12 Galicia;27 Lugo;Tamaño medio;2022;2,35
Total Nacional;12 Galicia;27 Lugo;Tamaño medio;2021;2,36
Total Nacional;12 Galicia;27 Lugo;Tamaño medio;2020;2,37
Total Nacional;12 Galicia;32 Ourense;Total;2023;130.557
Total Nacional;12 Galicia;32 Ourense;Total;2022;131.255
Total Nacional;12 Galicia;32 Ourense;Total;2021;131.979
Total Nacional;12 Galicia;32 Ourense;Total;2020;132.786
Total Nacional;12 Galicia;32 Ourense;1 persona;2023;39.160
Total Nacional;12 Galicia;32 Ourense;1 persona;2022;38.954
Total Nacional;12 Galicia;32 Ourense;1 persona;2021;38.746
Total Nacional;12 Galicia;32 Ourense;1 persona;2020;38.538
Total Nacional;12 Galicia;32 Ourense;2 personas;2023;44.995
Total Nacional;12 Galicia;32 Ourense;2 personas;2022;45.120
Total Nacional;12 Galicia;32 Ourense;2 personas;2021;45.232
Total Nacional;12 Galicia;32 Ourense;2 personas;2020;45.378
Total Nacional;12 Galicia;32 Ourense;3 personas;2023;26.770
Total Nacional;12 Galicia;32 Ourense;3 personas;2022;27.153
Total Nacional;12 Galicia;32 Ourense;3 personas;2021;27.555
Total Nacional;12 Galicia;32 Ourense;3 personas;2020;27.984
Total Nacional;12 Galicia;32 Ourense;4 personas;2023;15.140
Total Nacional;12 Galicia;32 Ourense;4 personas;2022;15.427
Total Nacional;12 Galicia;32 Ourense;4 personas;2021;15.729
Total Nacional;12 Galicia;32 Ourense;4 personas;2020;16.047
Total Nacional;12 Galicia;32 Ourense;5 personas o más;2023;4.492
Total Nacional;12 Galicia;32 Ourense;5 personas o más;2022;4.601
Total Nacional;12 Galicia;32 Ourense;5 personas o más;2021;4.717
Total Nacional;12 Galicia;32 Ourense;5 personas o más;2020;4.839
Total Nacional;12 Galicia;32 Ourense;Tamaño medio;2023;2,24
Total Nacional;12 Galicia;32 Ourense;Tamaño medio;2022;2,25
Total Nacional;12 Galicia;32 Ourense;Tamaño medio;2021;2,26
Total Nacional;12 Galicia;32 Ourense;Tamaño medio;2020;2,27
Total Nacional;12 Galicia;36 Pontevedra;Total;2023;373.421
Total Nacional;12 Galicia;36 Pontevedra;Total;2022;372.453
Total Nacional;12 Galicia;36 Pontevedra;Total;2021;371.409
Total Nacional;12 Galicia;36 Pontevedra;Total;2020;370.152
Total Nacional;12 Galicia;36 Pontevedra;1 persona;2023;96.000
Total Nacional;12 Galicia;36 Pontevedra;1 persona;2022;94.367
Total Nacional;12 Galicia;36 Pontevedra;1 persona;2021;92.691
Total Nacional;12 Galicia;36 Pontevedra;1 persona;2020;90.925
Total Nacional;12 Galicia;36 Pontevedra;2 personas;2023;113.116
Total Nacional;12 Galicia;36 Pontevedra;2 personas;2022;112.204
Total Nacional;12 Galicia;36 Pontevedra;2 personas;2021;111.264
Total Nacional;12 Galicia;36 Pontevedra;2 personas;2020;110.253
Total Nacional;12 Galicia;36 Pontevedra;3 personas;2023;81.954
Total Nacional;12 Galicia;36 Pontevedra;3 personas;2022;82.379
Total Nacional;12 Galicia;36 Pontevedra;3 personas;2021;82.802
Total Nacional;12 Galicia;36 Pontevedra;3 personas;2020;83.203
Total Nacional;12 Galicia;36 Pontevedra;4 personas;2023;60.371
Total Nacional;12 Galicia;36 Pontevedra;4 personas;2022;60.999
Total Nacional;12 Galicia;36 Pontevedra;4 personas;2021;61.614
Total Nacional;12 Galicia;36 Pontevedra;4 personas;2020;62.204
Total Nacional;12 Galicia;36 Pontevedra;5 personas o más;2023;21.980
Total Nacional;12 Galicia;36 Pontevedra;5 personas o más;2022;22.504
Total Nacional;12 Galicia;36 Pontevedra;5 personas o más;2021;23.038
Total Nacional;12 Galicia;36 Pontevedra;5 personas o más;2020;23.567
Total Nacional;12 Galicia;36 Pontevedra;Tamaño medio;2023;2,49
Total Nacional;12 Galicia;36 Pontevedra;Tamaño medio;2022;2,50
Total Nacional;12 Galicia;36 Pontevedra;Tamaño medio;2021;2,52
Total Nacional;12 Galicia;36 Pontevedra;Tamaño medio;2020;2,53
Total Nacional;13 Madrid, Comunidad de;;Total;2023;2.659.582
Total Nacional;13 Madrid, Comunidad de;;Total;2022;2.645.515
Total Nacional;13 Madrid, Comunidad de;;Total;2021;2.632.366
Total Nacional;13 Madrid, Comunidad de;;Total;2020;2.623.525
Total Nacional;13 Madrid, Comunidad de;;1 persona;2023;690.383
Total Nacional;13 Madrid, Comunidad de;;1 persona;2022;684.182
Total Nacional;13 Madrid, Comunidad de;;1 persona;2021;678.697
Total Nacional;13 Madrid, Comunidad de;;1 persona;2020;674.261
Total Nacional;13 Madrid, Comunidad de;;2 personas;2023;809.707
Total Nacional;13 Madrid, Comunidad de;;2 personas;2022;803.463
Total Nacional;13 Madrid, Comunidad de;;2 personas;2021;797.709
Total Nacional;13 Madrid, Comunidad de;;2 personas;2020;794.300
Total Nacional;13 Madrid, Comunidad de;;3 personas;2023;522.455
Total Nacional;13 Madrid, Comunidad de;;3 personas;2022;523.285
Total Nacional;13 Madrid, Comunidad de;;3 personas;2021;524.081
Total Nacional;13 Madrid, Comunidad de;;3 personas;2020;525.603
Total Nacional;13 Madrid, Comunidad de;;4 personas;2023;456.272
Total Nacional;13 Madrid, Comunidad de;;4 personas;2022;456.697
Total Nacional;13 Madrid, Comunidad de;;4 personas;2021;456.920
Total Nacional;13 Madrid, Comunidad de;;4 personas;2020;457.277
Total Nacional;13 Madrid, Comunidad de;;5 personas o más;2023;180.765
Total Nacional;13 Madrid, Comunidad de;;5 personas o más;2022;177.888
Total Nacional;13 Madrid, Comunidad de;;5 personas o más;2021;174.959
Total Nacional;13 Madrid, Comunidad de;;5 personas o más;2020;172.084
Total Nacional;13 Madrid, Comunidad de;;Tamaño medio;2023;2,54
Total Nacional;13 Madrid, Comunidad de;;Tamaño medio;2022;2,54
Total Nacional;13 Madrid, Comunidad de;;Tamaño medio;2021;2,54
Total Nacional;13 Madrid, Comunidad de;;Tamaño medio;2020;2,54
Total Nacional;14 Murcia, Región de;;Total;2023;558.209
Total Nacional;14 Murcia, Región de;;Total;2022;554.476
Total Nacional;14 Murcia, Región de;;Total;2021;550.667
Total Nacional;14 Murcia, Región de;;Total;2020;546.901
Total Nacional;14 Murcia, Región de;;1 persona;2023;122.058
Total Nacional;14 Murcia, Región de;;1 persona;2022;120.196
Total Nacional;14 Murcia, Región de;;1 persona;2021;118.273
Total Nacional;14 Murcia, Región de;;1 persona;2020;116.179
Total Nacional;14 Murcia, Región de;;2 personas;2023;161.916
Total Nacional;14 Murcia, Región de;;2 personas;2022;159.921
Total Nacional;14 Murcia, Región de;;2 personas;2021;157.912
Total Nacional;14 Murcia, Región de;;2 personas;2020;156.068
Total Nacional;14 Murcia, Región de;;3 personas;2023;114.306
Total Nacional;14 Murcia, Región de;;3 personas;2022;113.880
Total Nacional;14 Murcia, Región de;;3 personas;2021;113.459
Total Nacional;14 Murcia, Región de;;3 personas;2020;113.105
Total Nacional;14 Murcia, Región de;;4 personas;2023;108.942
Total Nacional;14 Murcia, Región de;;4 personas;2022;109.675
Total Nacional;14 Murcia, Región de;;4 personas;2021;110.400
Total Nacional;14 Murcia, Región de;;4 personas;2020;111.112
Total Nacional;14 Murcia, Región de;;5 personas o más;2023;50.987
Total Nacional;14 Murcia, Región de;;5 personas o más;2022;50.804
Total Nacional;14 Murcia, Región de;;5 personas o más;2021;50.623
Total Nacional;14 Murcia, Región de;;5 personas o más;2020;50.437
Total Nacional;14 Murcia, Región de;;Tamaño medio;2023;2,71
Total Nacional;14 Murcia, Región de;;Tamaño medio;2022;2,72
Total Nacional;14 Murcia, Región de;;Tamaño medio;2021;2,73
Total Nacional;14 Murcia, Región de;;Tamaño medio;2020;2,74
Total Nacional;15 Navarra, Comunidad Foral de;;Total;2023;260.031
Total Nacional;15 Navarra, Comunidad Foral de;;Total;2022;259.277
Total Nacional;15 Navarra, Comunidad Foral de;;Total;2021;258.556
Total Nacional;15 Navarra, Comunidad Foral de;;Total;2020;258.021
Total Nacional;15 Navarra, Comunidad Foral de;;1 persona;2023;70.782
Total Nacional;15 Navarra, Comunidad Foral de;;1 persona;2022;70.342
Total Nacional;15 Navarra, Comunidad Foral de;;1 persona;2021;69.948
Total Nacional;15 Navarra, Comunidad Foral de;;1 persona;2020;69.646
Total Nacional;15 Navarra, Comunidad Foral de;;2 personas;2023;78.277
Total Nacional;15 Navarra, Comunidad Foral de;;2 personas;2022;77.749
Total Nacional;15 Navarra, Comunidad Foral de;;2 personas;2021;77.223
Total Nacional;15 Navarra, Comunidad Foral de;;2 personas;2020;76.798
Total Nacional;15 Navarra, Comunidad Foral de;;3 personas;2023;49.137
Total Nacional;15 Navarra, Comunidad Foral de;;3 personas;2022;49.340
Total Nacional;15 Navarra, Comunidad Foral de;;3 personas;2021;49.538
Total Nacional;15 Navarra, Comunidad Foral de;;3 personas;2020;49.752
Total Nacional;15 Navarra, Comunidad Foral de;;4 personas;2023;45.464
Total Nacional;15 Navarra, Comunidad Foral de;;4 personas;2022;45.691
Total Nacional;15 Navarra, Comunidad Foral de;;4 personas;2021;45.911
Total Nacional;15 Navarra, Comunidad Foral de;;4 personas;2020;46.119
Total Nacional;15 Navarra, Comunidad Foral de;;5 personas o más;2023;16.371
Total Nacional;15 Navarra, Comunidad Foral de;;5 personas o más;2022;16.155
Total Nacional;15 Navarra, Comunidad Foral de;;5 personas o más;2021;15.936
Total Nacional;15 Navarra, Comunidad Foral de;;5 personas o más;2020;15.706
Total Nacional;15 Navarra, Comunidad Foral de;;Tamaño medio;2023;2,51
Total Nacional;15 Navarra, Comunidad Foral de;;Tamaño medio;2022;2,51
Total Nacional;15 Navarra, Comunidad Foral de;;Tamaño medio;2021;2,51
Total Nacional;15 Navarra, Comunidad Foral de;;Tamaño medio;2020;2,51
Total Nacional;16 País Vasco;;Total;2023;911.782
Total Nacional;16 País Vasco;;Total;2022;910.784
Total Nacional;16 País Vasco;;Total;2021;909.780
Total Nacional;16 País Vasco;;Total;2020;909.072
Total Nacional;16 País Vasco;;1 persona;2023;262.499
Total Nacional;16 País Vasco;;1 persona;2022;259.663
Total Nacional;16 País Vasco;;1 persona;2021;256.805
Total Nacional;16 País Vasco;;1 persona;2020;253.983
Total Nacional;16 País Vasco;;2 personas;2023;296.764
Total Nacional;16 País Vasco;;2 personas;2022;295.355
Total Nacional;16 País Vasco;;2 personas;2021;294.004
Total Nacional;16 País Vasco;;2 personas;2020;292.886
Total Nacional;16 País Vasco;;3 personas;2023;171.770
Total Nacional;16 País Vasco;;3 personas;2022;174.122
Total Nacional;16 País Vasco;;3 personas;2021;176.499
Total Nacional;16 País Vasco;;3 personas;2020;178.970
Total Nacional;16 País Vasco;;4 personas;2023;141.394
Total Nacional;16 País Vasco;;4 personas;2022;142.642
Total Nacional;16 País Vasco;;4 personas;2021;143.855
Total Nacional;16 País Vasco;;4 personas;2020;145.047
Total Nacional;16 País Vasco;;5 personas o más;2023;39.355
Total Nacional;16 País Vasco;;5 personas o más;2022;39.002
Total Nacional;16 País Vasco;;5 personas o más;2021;38.617
Total Nacional;16 País Vasco;;5 personas o más;2020;38.186
Total Nacional;16 País Vasco;;Tamaño medio;2023;2,36
Total Nacional;16 País Vasco;;Tamaño medio;2022;2,37
Total Nacional;16 País Vasco;;Tamaño medio;2021;2,37
Total Nacional;16 País Vasco;;Tamaño medio;2020;2,38
Total Nacional;16 País Vasco;01 Araba/Álava;Total;2023;141.421
Total Nacional;16 País Vasco;01 Araba/Álava;Total;2022;141.156
Total Nacional;16 País Vasco;01 Araba/Álava;Total;2021;140.893
Total Nacional;16 País Vasco;01 Araba/Álava;Total;2020;140.722
Total Nacional;16 País Vasco;01 Araba/Álava;1 persona;2023;43.494
Total Nacional;16 País Vasco;01 Araba/Álava;1 persona;2022;43.202
Total Nacional;16 País Vasco;01 Araba/Álava;1 persona;2021;42.937
Total Nacional;16 País Vasco;01 Araba/Álava;1 persona;2020;42.715
Total Nacional;16 País Vasco;01 Araba/Álava;2 personas;2023;46.698
Total Nacional;16 País Vasco;01 Araba/Álava;2 personas;2022;46.543
Total Nacional;16 País Vasco;01 Araba/Álava;2 personas;2021;46.387
Total Nacional;16 País Vasco;01 Araba/Álava;2 personas;2020;46.292
Total Nacional;16 País Vasco;01 Araba/Álava;3 personas;2023;24.771
