Provincias;Nivel de ingresos mensuales netos del hogar;Tamaño del municipio;Tipo de dispositivo de energía renovable;Total
Alicante/Alacant;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;2.744
Alicante/Alacant;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.228
Alicante/Alacant;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Alicante/Alacant;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;73.538
Alicante/Alacant;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Total;77.595
Alicante/Alacant;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar térmica;2.901
Alicante/Alacant;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;3.098
Alicante/Alacant;3.000 euros o más;Total;Combinación de varios tipos de dispositivos;931
Alicante/Alacant;3.000 euros o más;Total;No dispone de dispositivo de energía renovable;69.103
Alicante/Alacant;3.000 euros o más;Total;Total;76.033
Alicante/Alacant;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;1.819
Alicante/Alacant;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;2.290
Alicante/Alacant;3.000 euros o más;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;470
Alicante/Alacant;3.000 euros o más;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;30.934
Alicante/Alacant;3.000 euros o más;De 50.000 habitantes o menos;Total;35.513
Alicante/Alacant;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;1.083
Alicante/Alacant;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;808
Alicante/Alacant;3.000 euros o más;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;461
Alicante/Alacant;3.000 euros o más;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;38.169
Alicante/Alacant;3.000 euros o más;Más de 50.000 habitantes;Total;40.520
Almería;Total;Total;Un único tipo de dispositivo: Energía solar térmica;13.427
Almería;Total;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;3.692
Almería;Total;Total;Combinación de varios tipos de dispositivos;737
Almería;Total;Total;No dispone de dispositivo de energía renovable;248.102
Almería;Total;Total;Total;265.958
Almería;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;6.025
Almería;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;2.639
Almería;Total;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Almería;Total;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;117.755
Almería;Total;De 50.000 habitantes o menos;Total;126.419
Almería;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;7.402
Almería;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.053
Almería;Total;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;737
Almería;Total;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;130.347
Almería;Total;Más de 50.000 habitantes;Total;139.539
Almería;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;2.191
Almería;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.033
Almería;Menos de 1.000 euros;Total;Combinación de varios tipos de dispositivos;.
Almería;Menos de 1.000 euros;Total;No dispone de dispositivo de energía renovable;67.187
Almería;Menos de 1.000 euros;Total;Total;70.411
Almería;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;1.351
Almería;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;823
Almería;Menos de 1.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Almería;Menos de 1.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;34.364
Almería;Menos de 1.000 euros;De 50.000 habitantes o menos;Total;36.538
Almería;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;841
Almería;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;210
Almería;Menos de 1.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Almería;Menos de 1.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;32.823
Almería;Menos de 1.000 euros;Más de 50.000 habitantes;Total;33.873
Almería;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar térmica;2.930
Almería;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;109
Almería;De 1.000 euros a menos de 1.500 euros;Total;Combinación de varios tipos de dispositivos;102
Almería;De 1.000 euros a menos de 1.500 euros;Total;No dispone de dispositivo de energía renovable;71.821
Almería;De 1.000 euros a menos de 1.500 euros;Total;Total;74.962
Almería;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;1.273
Almería;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
Almería;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Almería;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;36.061
Almería;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Total;37.334
Almería;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;1.657
Almería;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;109
Almería;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;102
Almería;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;35.760
Almería;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Total;37.628
Almería;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;2.494
Almería;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.417
Almería;De 1.500 euros a menos de 2.000 euros;Total;Combinación de varios tipos de dispositivos;.
Almería;De 1.500 euros a menos de 2.000 euros;Total;No dispone de dispositivo de energía renovable;38.820
Almería;De 1.500 euros a menos de 2.000 euros;Total;Total;42.731
Almería;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;1.026
Almería;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.106
Almería;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Almería;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;18.253
Almería;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Total;20.385
Almería;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;1.468
Almería;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;311
Almería;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Almería;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;20.567
Almería;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Total;22.346
Almería;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;3.407
Almería;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;368
Almería;De 2.000 euros a menos de 3.000 euros;Total;Combinación de varios tipos de dispositivos;166
Almería;De 2.000 euros a menos de 3.000 euros;Total;No dispone de dispositivo de energía renovable;48.703
Almería;De 2.000 euros a menos de 3.000 euros;Total;Total;52.643
Almería;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;1.526
Almería;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
Almería;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Almería;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;21.023
Almería;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Total;22.798
Almería;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;1.881
Almería;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;119
Almería;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;166
Almería;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;27.680
Almería;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Total;29.845
Almería;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar térmica;2.405
Almería;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;766
Almería;3.000 euros o más;Total;Combinación de varios tipos de dispositivos;469
Almería;3.000 euros o más;Total;No dispone de dispositivo de energía renovable;21.571
Almería;3.000 euros o más;Total;Total;25.211
Almería;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;849
Almería;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
Almería;3.000 euros o más;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Almería;3.000 euros o más;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;8.054
Almería;3.000 euros o más;De 50.000 habitantes o menos;Total;9.364
Almería;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;1.555
Almería;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;305
Almería;3.000 euros o más;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;469
Almería;3.000 euros o más;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;13.517
Almería;3.000 euros o más;Más de 50.000 habitantes;Total;15.846
Araba/Álava;Total;Total;Un único tipo de dispositivo: Energía solar térmica;8.173
Araba/Álava;Total;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;6.567
Araba/Álava;Total;Total;Combinación de varios tipos de dispositivos;.
Araba/Álava;Total;Total;No dispone de dispositivo de energía renovable;126.384
Araba/Álava;Total;Total;Total;141.124
Araba/Álava;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;861
Araba/Álava;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;778
Araba/Álava;Total;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Araba/Álava;Total;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;32.604
Araba/Álava;Total;De 50.000 habitantes o menos;Total;34.243
Araba/Álava;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;7.312
Araba/Álava;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;5.790
Araba/Álava;Total;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Araba/Álava;Total;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;93.779
Araba/Álava;Total;Más de 50.000 habitantes;Total;106.881
Araba/Álava;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;688
Araba/Álava;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;778
Araba/Álava;Menos de 1.000 euros;Total;Combinación de varios tipos de dispositivos;.
Araba/Álava;Menos de 1.000 euros;Total;No dispone de dispositivo de energía renovable;17.874
Araba/Álava;Menos de 1.000 euros;Total;Total;19.340
Araba/Álava;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;.
Araba/Álava;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
Araba/Álava;Menos de 1.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Araba/Álava;Menos de 1.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;5.143
Araba/Álava;Menos de 1.000 euros;De 50.000 habitantes o menos;Total;5.257
Araba/Álava;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;688
Araba/Álava;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;664
Araba/Álava;Menos de 1.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Araba/Álava;Menos de 1.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;12.731
Araba/Álava;Menos de 1.000 euros;Más de 50.000 habitantes;Total;14.083
Araba/Álava;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar térmica;1.747
Araba/Álava;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.026
Araba/Álava;De 1.000 euros a menos de 1.500 euros;Total;Combinación de varios tipos de dispositivos;.
Araba/Álava;De 1.000 euros a menos de 1.500 euros;Total;No dispone de dispositivo de energía renovable;26.352
Araba/Álava;De 1.000 euros a menos de 1.500 euros;Total;Total;29.126
Araba/Álava;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;.
Araba/Álava;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
Araba/Álava;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Araba/Álava;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;6.587
Araba/Álava;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Total;6.767
Araba/Álava;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;1.681
