Provincias;Ingresos netos;Dispone de dispositivo de energía renovable;Total
Huesca;3.000 euros o más;Si;1851
Huesca;De 1.000 euros a menos de 1.500 euros;No;20940
Huesca;De 1.000 euros a menos de 1.500 euros;Si;257
Huesca;De 1.500 euros a menos de 2.000 euros;No;13561
Huesca;De 1.500 euros a menos de 2.000 euros;Si;647
Huesca;De 2.000 euros a menos de 3.000 euros;No;18632
Huesca;De 2.000 euros a menos de 3.000 euros;Si;1147
Huesca;Menos de 1.000 euros;No;17808
Huesca;Menos de 1.000 euros;Si;1223
Jaén;3.000 euros o más;No;17802
Jaén;3.000 euros o más;Si;2138
Jaén;De 1.000 euros a menos de 1.500 euros;No;60448
Jaén;De 1.000 euros a menos de 1.500 euros;Si;3182
Jaén;De 1.500 euros a menos de 2.000 euros;No;40226
Jaén;De 1.500 euros a menos de 2.000 euros;Si;1715
Jaén;De 2.000 euros a menos de 3.000 euros;No;36516
Jaén;De 2.000 euros a menos de 3.000 euros;Si;2081
Jaén;Menos de 1.000 euros;No;80194
Jaén;Menos de 1.000 euros;Si;2251
León;3.000 euros o más;No;19246
León;3.000 euros o más;Si;1566
León;De 1.000 euros a menos de 1.500 euros;No;47142
León;De 1.000 euros a menos de 1.500 euros;Si;1799
León;De 1.500 euros a menos de 2.000 euros;No;33071
León;De 1.500 euros a menos de 2.000 euros;Si;1544
León;De 2.000 euros a menos de 3.000 euros;No;37173
León;De 2.000 euros a menos de 3.000 euros;Si;3508
León;Menos de 1.000 euros;No;54158
León;Menos de 1.000 euros;Si;1066
Lleida;3.000 euros o más;No;20755
Lleida;3.000 euros o más;Si;2865
Lleida;De 1.000 euros a menos de 1.500 euros;No;36641
Lleida;De 1.000 euros a menos de 1.500 euros;Si;1894
Lleida;De 1.500 euros a menos de 2.000 euros;No;29317
Lleida;De 1.500 euros a menos de 2.000 euros;Si;1318
Lleida;De 2.000 euros a menos de 3.000 euros;No;42353
Lleida;De 2.000 euros a menos de 3.000 euros;Si;1769
Lleida;Menos de 1.000 euros;No;38689
Lleida;Menos de 1.000 euros;Si;476
Lugo;3.000 euros o más;No;14408
Lugo;3.000 euros o más;Si;815
Lugo;De 1.000 euros a menos de 1.500 euros;No;33680
Lugo;De 1.000 euros a menos de 1.500 euros;Si;492
Lugo;De 1.500 euros a menos de 2.000 euros;No;24684
Lugo;De 1.500 euros a menos de 2.000 euros;Si;515
Lugo;De 2.000 euros a menos de 3.000 euros;No;23859
Lugo;De 2.000 euros a menos de 3.000 euros;Si;1153
Lugo;Menos de 1.000 euros;No;36941
Lugo;Menos de 1.000 euros;Si;902
Madrid;3.000 euros o más;No;549825
Madrid;3.000 euros o más;Si;59490
Madrid;De 1.000 euros a menos de 1.500 euros;No;475806
Madrid;De 1.000 euros a menos de 1.500 euros;Si;33250
Madrid;De 1.500 euros a menos de 2.000 euros;No;399380
Madrid;De 1.500 euros a menos de 2.000 euros;Si;30818
Madrid;De 2.000 euros a menos de 3.000 euros;No;595533
Madrid;De 2.000 euros a menos de 3.000 euros;Si;57984
Madrid;Menos de 1.000 euros;No;405492
Madrid;Menos de 1.000 euros;Si;18530
Murcia;3.000 euros o más;No;61433
Murcia;3.000 euros o más;Si;5191
Murcia;De 1.000 euros a menos de 1.500 euros;No;132306
Murcia;De 1.000 euros a menos de 1.500 euros;Si;4642
Murcia;De 1.500 euros a menos de 2.000 euros;No;91157
Murcia;De 1.500 euros a menos de 2.000 euros;Si;5366
Murcia;De 2.000 euros a menos de 3.000 euros;No;105318
Murcia;De 2.000 euros a menos de 3.000 euros;Si;6115
Murcia;Menos de 1.000 euros;No;138351
Murcia;Menos de 1.000 euros;Si;5188
Málaga;3.000 euros o más;No;55502
Málaga;3.000 euros o más;Si;7775
Málaga;De 1.000 euros a menos de 1.500 euros;No;149124
Málaga;De 1.000 euros a menos de 1.500 euros;Si;10397
Málaga;De 1.500 euros a menos de 2.000 euros;No;112635
Málaga;De 1.500 euros a menos de 2.000 euros;Si;6905
Málaga;De 2.000 euros a menos de 3.000 euros;No;116558
Málaga;De 2.000 euros a menos de 3.000 euros;Si;8657
Málaga;Menos de 1.000 euros;No;184490
Málaga;Menos de 1.000 euros;Si;6141
Navarra;3.000 euros o más;No;48887
Navarra;3.000 euros o más;Si;4227
