Provincias;Edad (grupos quinquenales);Total
Lleida;De 80 a 84 años  ;10.888
Lleida;De 85 a 89 años  ;10.362
Lleida;De 90 a 94 años  ;5.220
Lleida;De 95 a 99 años  ;1.374
Lleida;100 y más años;190
Tarragona;De 0 a 4 años;33.683
Tarragona;De 5 a 9 años;42.050
Tarragona;De 10 a 14 años  ;48.091
Tarragona;De 15 a 19 años  ;45.912
Tarragona;De 20 a 24 años;42.534
Tarragona;De 25 a 29 años;42.467
Tarragona;De 30 a 34 años;46.115
Tarragona;De 35 a 39 años;54.065
Tarragona;De 40 a 44 años;68.789
Tarragona;De 45 a 49 años;70.652
Tarragona;De 50 a 54 años;63.457
Tarragona;De 55 a 59 años;58.024
Tarragona;De 60 a 64 años;52.010
Tarragona;De 65 a 69 años;44.891
Tarragona;De 70 a 74 años  ;39.400
Tarragona;De 75 a 79 años  ;31.161
Tarragona;De 80 a 84 años  ;20.449
Tarragona;De 85 a 89 años  ;16.115
Tarragona;De 90 a 94 años  ;7.848
Tarragona;De 95 a 99 años  ;2.042
Tarragona;100 y más años;320
Alicante/Alacant;De 0 a 4 años;71.644
Alicante/Alacant;De 5 a 9 años;88.983
Alicante/Alacant;De 10 a 14 años  ;101.862
Alicante/Alacant;De 15 a 19 años  ;99.847
Alicante/Alacant;De 20 a 24 años;95.095
Alicante/Alacant;De 25 a 29 años;96.678
Alicante/Alacant;De 30 a 34 años;107.158
Alicante/Alacant;De 35 a 39 años;122.964
Alicante/Alacant;De 40 a 44 años;151.416
Alicante/Alacant;De 45 a 49 años;157.163
Alicante/Alacant;De 50 a 54 años;149.315
Alicante/Alacant;De 55 a 59 años;141.157
Alicante/Alacant;De 60 a 64 años;127.883
Alicante/Alacant;De 65 a 69 años;109.529
Alicante/Alacant;De 70 a 74 años  ;98.123
Alicante/Alacant;De 75 a 79 años  ;78.209
Alicante/Alacant;De 80 a 84 años  ;52.423
Alicante/Alacant;De 85 a 89 años  ;33.724
Alicante/Alacant;De 90 a 94 años  ;14.419
Alicante/Alacant;De 95 a 99 años  ;3.400
Alicante/Alacant;100 y más años;602
Castellón/Castelló;De 0 a 4 años;22.627
Castellón/Castelló;De 5 a 9 años;28.626
Castellón/Castelló;De 10 a 14 años  ;32.371
Castellón/Castelló;De 15 a 19 años  ;31.398
Castellón/Castelló;De 20 a 24 años;29.680
Castellón/Castelló;De 25 a 29 años;29.660
Castellón/Castelló;De 30 a 34 años;32.219
Castellón/Castelló;De 35 a 39 años;37.701
Castellón/Castelló;De 40 a 44 años;48.936
Castellón/Castelló;De 45 a 49 años;50.797
Castellón/Castelló;De 50 a 54 años;47.904
Castellón/Castelló;De 55 a 59 años;43.118
Castellón/Castelló;De 60 a 64 años;38.414
Castellón/Castelló;De 65 a 69 años;31.522
Castellón/Castelló;De 70 a 74 años  ;28.061
Castellón/Castelló;De 75 a 79 años  ;22.838
Castellón/Castelló;De 80 a 84 años  ;15.815
Castellón/Castelló;De 85 a 89 años  ;12.024
Castellón/Castelló;De 90 a 94 años  ;5.382
Castellón/Castelló;De 95 a 99 años  ;1.351
Castellón/Castelló;100 y más años;172
Valencia/València;De 0 a 4 años;96.875
