Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Españoles/Extranjeros;Edad (grupos quinquenales);Sexo;Periodo;Total
Total Nacional;01 Andalucía;;Total;De 25 a 29 años;Total;1 de enero de 2021;475.704
Total Nacional;01 Andalucía;;Total;De 25 a 29 años;Total;1 de enero de 2020;484.050
Total Nacional;01 Andalucía;;Total;De 25 a 29 años;Total;1 de enero de 2019;489.979
Total Nacional;01 Andalucía;;Total;De 25 a 29 años;Total;1 de enero de 2018;493.518
Total Nacional;01 Andalucía;;Total;De 25 a 29 años;Total;1 de enero de 2017;499.471
Total Nacional;01 Andalucía;;Total;De 25 a 29 años;Total;1 de enero de 2016;509.761
Total Nacional;01 Andalucía;;Total;De 25 a 29 años;Total;1 de enero de 2015;521.808
Total Nacional;01 Andalucía;;Total;De 30 a 34 años;Total;1 de enero de 2022;511.105
Total Nacional;01 Andalucía;;Total;De 30 a 34 años;Total;1 de enero de 2021;515.009
Total Nacional;01 Andalucía;;Total;De 30 a 34 años;Total;1 de enero de 2020;521.941
Total Nacional;01 Andalucía;;Total;De 30 a 34 años;Total;1 de enero de 2019;530.177
Total Nacional;01 Andalucía;;Total;De 30 a 34 años;Total;1 de enero de 2018;542.480
Total Nacional;01 Andalucía;;Total;De 30 a 34 años;Total;1 de enero de 2017;562.985
Total Nacional;01 Andalucía;;Total;De 30 a 34 años;Total;1 de enero de 2016;587.566
Total Nacional;01 Andalucía;;Total;De 30 a 34 años;Total;1 de enero de 2015;616.501
Total Nacional;01 Andalucía;;Total;De 35 a 39 años;Total;1 de enero de 2022;577.191
Total Nacional;01 Andalucía;;Total;De 35 a 39 años;Total;1 de enero de 2021;594.739
Total Nacional;01 Andalucía;;Total;De 35 a 39 años;Total;1 de enero de 2020;618.276
Total Nacional;01 Andalucía;;Total;De 35 a 39 años;Total;1 de enero de 2019;635.716
Total Nacional;01 Andalucía;;Total;De 35 a 39 años;Total;1 de enero de 2018;656.642
Total Nacional;01 Andalucía;;Total;De 35 a 39 años;Total;1 de enero de 2017;676.669
Total Nacional;01 Andalucía;;Total;De 35 a 39 años;Total;1 de enero de 2016;695.642
Total Nacional;01 Andalucía;;Total;De 35 a 39 años;Total;1 de enero de 2015;706.393
Total Nacional;01 Andalucía;;Total;De 40 a 44 años;Total;1 de enero de 2022;683.756
Total Nacional;01 Andalucía;;Total;De 40 a 44 años;Total;1 de enero de 2021;696.918
Total Nacional;01 Andalucía;;Total;De 40 a 44 años;Total;1 de enero de 2020;703.229
Total Nacional;01 Andalucía;;Total;De 40 a 44 años;Total;1 de enero de 2019;703.951
Total Nacional;01 Andalucía;;Total;De 40 a 44 años;Total;1 de enero de 2018;699.798
Total Nacional;01 Andalucía;;Total;De 40 a 44 años;Total;1 de enero de 2017;696.853
Total Nacional;01 Andalucía;;Total;De 40 a 44 años;Total;1 de enero de 2016;691.554
Total Nacional;01 Andalucía;;Total;De 40 a 44 años;Total;1 de enero de 2015;687.805
Total Nacional;01 Andalucía;;Total;De 45 a 49 años;Total;1 de enero de 2022;698.517
Total Nacional;01 Andalucía;;Total;De 45 a 49 años;Total;1 de enero de 2021;689.126
Total Nacional;01 Andalucía;;Total;De 45 a 49 años;Total;1 de enero de 2020;681.885
Total Nacional;01 Andalucía;;Total;De 45 a 49 años;Total;1 de enero de 2019;673.613
Total Nacional;01 Andalucía;;Total;De 45 a 49 años;Total;1 de enero de 2018;670.069
Total Nacional;01 Andalucía;;Total;De 45 a 49 años;Total;1 de enero de 2017;670.922
Total Nacional;01 Andalucía;;Total;De 45 a 49 años;Total;1 de enero de 2016;670.533
Total Nacional;01 Andalucía;;Total;De 45 a 49 años;Total;1 de enero de 2015;670.394
Total Nacional;01 Andalucía;;Total;De 50 a 54 años;Total;1 de enero de 2022;669.072
Total Nacional;01 Andalucía;;Total;De 50 a 54 años;Total;1 de enero de 2021;665.377
Total Nacional;01 Andalucía;;Total;De 50 a 54 años;Total;1 de enero de 2020;662.073
Total Nacional;01 Andalucía;;Total;De 50 a 54 años;Total;1 de enero de 2019;661.057
Total Nacional;01 Andalucía;;Total;De 50 a 54 años;Total;1 de enero de 2018;653.267
Total Nacional;01 Andalucía;;Total;De 50 a 54 años;Total;1 de enero de 2017;637.850
Total Nacional;01 Andalucía;;Total;De 50 a 54 años;Total;1 de enero de 2016;624.592
Total Nacional;01 Andalucía;;Total;De 50 a 54 años;Total;1 de enero de 2015;612.471
Total Nacional;01 Andalucía;;Total;De 55 a 59 años;Total;1 de enero de 2022;633.113
Total Nacional;01 Andalucía;;Total;De 55 a 59 años;Total;1 de enero de 2021;617.409
Total Nacional;01 Andalucía;;Total;De 55 a 59 años;Total;1 de enero de 2020;602.948
Total Nacional;01 Andalucía;;Total;De 55 a 59 años;Total;1 de enero de 2019;580.203
Total Nacional;01 Andalucía;;Total;De 55 a 59 años;Total;1 de enero de 2018;565.586
Total Nacional;01 Andalucía;;Total;De 55 a 59 años;Total;1 de enero de 2017;555.477
Total Nacional;01 Andalucía;;Total;De 55 a 59 años;Total;1 de enero de 2016;538.891
Total Nacional;01 Andalucía;;Total;De 55 a 59 años;Total;1 de enero de 2015;519.629
Total Nacional;01 Andalucía;;Total;De 60 a 64 años;Total;1 de enero de 2022;547.955
Total Nacional;01 Andalucía;;Total;De 60 a 64 años;Total;1 de enero de 2021;529.831
Total Nacional;01 Andalucía;;Total;De 60 a 64 años;Total;1 de enero de 2020;509.231
Total Nacional;01 Andalucía;;Total;De 60 a 64 años;Total;1 de enero de 2019;485.697
Total Nacional;01 Andalucía;;Total;De 60 a 64 años;Total;1 de enero de 2018;465.374
Total Nacional;01 Andalucía;;Total;De 60 a 64 años;Total;1 de enero de 2017;448.377
Total Nacional;01 Andalucía;;Total;De 60 a 64 años;Total;1 de enero de 2016;435.876
Total Nacional;01 Andalucía;;Total;De 60 a 64 años;Total;1 de enero de 2015;419.501
Total Nacional;01 Andalucía;;Total;De 65 a 69 años;Total;1 de enero de 2022;438.137
Total Nacional;01 Andalucía;;Total;De 65 a 69 años;Total;1 de enero de 2021;424.411
Total Nacional;01 Andalucía;;Total;De 65 a 69 años;Total;1 de enero de 2020;406.916
Total Nacional;01 Andalucía;;Total;De 65 a 69 años;Total;1 de enero de 2019;400.107
Total Nacional;01 Andalucía;;Total;De 65 a 69 años;Total;1 de enero de 2018;397.204
Total Nacional;01 Andalucía;;Total;De 65 a 69 años;Total;1 de enero de 2017;390.452
Total Nacional;01 Andalucía;;Total;De 65 a 69 años;Total;1 de enero de 2016;384.487
Total Nacional;01 Andalucía;;Total;De 65 a 69 años;Total;1 de enero de 2015;392.351
Total Nacional;01 Andalucía;;Total;De 70 a 74 años  ;Total;1 de enero de 2022;367.290
Total Nacional;01 Andalucía;;Total;De 70 a 74 años  ;Total;1 de enero de 2021;359.503
Total Nacional;01 Andalucía;;Total;De 70 a 74 años  ;Total;1 de enero de 2020;365.538
Total Nacional;01 Andalucía;;Total;De 70 a 74 años  ;Total;1 de enero de 2019;360.021
Total Nacional;01 Andalucía;;Total;De 70 a 74 años  ;Total;1 de enero de 2018;351.747
Total Nacional;01 Andalucía;;Total;De 70 a 74 años  ;Total;1 de enero de 2017;339.564
Total Nacional;01 Andalucía;;Total;De 70 a 74 años  ;Total;1 de enero de 2016;327.605
Total Nacional;01 Andalucía;;Total;De 70 a 74 años  ;Total;1 de enero de 2015;323.398
Total Nacional;01 Andalucía;;Total;De 75 a 79 años  ;Total;1 de enero de 2022;301.419
Total Nacional;01 Andalucía;;Total;De 75 a 79 años  ;Total;1 de enero de 2021;289.542
Total Nacional;01 Andalucía;;Total;De 75 a 79 años  ;Total;1 de enero de 2020;284.843
Total Nacional;01 Andalucía;;Total;De 75 a 79 años  ;Total;1 de enero de 2019;267.669
Total Nacional;01 Andalucía;;Total;De 75 a 79 años  ;Total;1 de enero de 2018;250.818
Total Nacional;01 Andalucía;;Total;De 75 a 79 años  ;Total;1 de enero de 2017;250.320
Total Nacional;01 Andalucía;;Total;De 75 a 79 años  ;Total;1 de enero de 2016;260.428
Total Nacional;01 Andalucía;;Total;De 75 a 79 años  ;Total;1 de enero de 2015;255.893
Total Nacional;01 Andalucía;;Total;De 80 a 84 años  ;Total;1 de enero de 2022;200.271
Total Nacional;01 Andalucía;;Total;De 80 a 84 años  ;Total;1 de enero de 2021;207.238
Total Nacional;01 Andalucía;;Total;De 80 a 84 años  ;Total;1 de enero de 2020;202.467
Total Nacional;01 Andalucía;;Total;De 80 a 84 años  ;Total;1 de enero de 2019;208.695
