Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Municipios;Consumo eléctrico;Total
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas con cosumo entre 1.001 y 2.000 kwh;187.005
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas con cosumo entre 2.001 y 3.000 kwh;116.896
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas con cosumo entre 3.001 y 4.000 kwh;53.055
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas con cosumo entre 4.001 y 5.000 kwh;26.587
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas con cosumo entre 5.001 y 6.000 kwh;14.546
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas con cosumo entre 6.001 y 7.000 kwh;8.793
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas con cosumo entre 7.001 y 8.000 kwh;5.409
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas con cosumo entre 8.001 y 9.000 kwh;3.440
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas con cosumo entre 9.001 y 10.000 kwh;2.369
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas con consumo mayor de 10.000 kwh;6.532
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas totales;652.123
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas vacías;105.434
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Mediana consumo anual;2.869
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas con bajo consumo;13.483
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas de uso esporádico;44.815
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas de uso esporádico (entre 251 y 500 kwh);22.973
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas de uso esporádico (entre 501 y 750 kwh);21.842
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas con cosumo entre 751 y 1.000 kwh;22.407
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas con cosumo entre 1.001 y 2.000 kwh;104.494
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas con cosumo entre 2.001 y 3.000 kwh;108.298
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas con cosumo entre 3.001 y 4.000 kwh;86.178
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas con cosumo entre 4.001 y 5.000 kwh;58.844
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas con cosumo entre 5.001 y 6.000 kwh;37.448
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas con cosumo entre 6.001 y 7.000 kwh;23.133
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas con cosumo entre 7.001 y 8.000 kwh;14.636
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas con cosumo entre 8.001 y 9.000 kwh;9.322
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas con cosumo entre 9.001 y 10.000 kwh;6.199
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas con consumo mayor de 10.000 kwh;17.432
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas totales;551.237
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas vacías;100.375
Total Nacional;05 Canarias;35 Palmas, Las;;Mediana consumo anual;2.382
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas con bajo consumo;12.667
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas de uso esporádico;37.722
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas de uso esporádico (entre 251 y 500 kwh);18.032
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas de uso esporádico (entre 501 y 750 kwh);19.690
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas con cosumo entre 751 y 1.000 kwh;22.302
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas con cosumo entre 1.001 y 2.000 kwh;114.054
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas con cosumo entre 2.001 y 3.000 kwh;110.084
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas con cosumo entre 3.001 y 4.000 kwh;73.544
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas con cosumo entre 4.001 y 5.000 kwh;37.757
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas con cosumo entre 5.001 y 6.000 kwh;18.169
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas con cosumo entre 6.001 y 7.000 kwh;8.999
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas con cosumo entre 7.001 y 8.000 kwh;4.986
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas con cosumo entre 8.001 y 9.000 kwh;2.920
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.910
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas con consumo mayor de 10.000 kwh;5.748
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas totales;537.463
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas vacías;110.956
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Mediana consumo anual;2.115
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas con bajo consumo;15.162
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas de uso esporádico;46.000
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas de uso esporádico (entre 251 y 500 kwh);21.673
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas de uso esporádico (entre 501 y 750 kwh);24.327
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas con cosumo entre 751 y 1.000 kwh;27.734
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas con cosumo entre 1.001 y 2.000 kwh;119.240
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas con cosumo entre 2.001 y 3.000 kwh;94.606
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas con cosumo entre 3.001 y 4.000 kwh;58.340
