Provincias;Tipo de núcleo familiar;Número de hijos;Total
Araba/Álava;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;2.484
Araba/Álava;Pareja no casada, con o sin hijos convivientes;Total;13.014
Araba/Álava;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Araba/Álava;Padre sólo con hijos convivientes;1 hijo conviviendo;1.546
Araba/Álava;Padre sólo con hijos convivientes;2 o más hijos conviviendo;672
Araba/Álava;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;817
Araba/Álava;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;813
Araba/Álava;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;587
Araba/Álava;Padre sólo con hijos convivientes;Total;2.217
Araba/Álava;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Araba/Álava;Madre sóla con hijos convivientes;1 hijo conviviendo;10.500
Araba/Álava;Madre sóla con hijos convivientes;2 o más hijos conviviendo;4.135
Araba/Álava;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;5.636
Araba/Álava;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;5.750
Araba/Álava;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;3.248
Araba/Álava;Madre sóla con hijos convivientes;Total;14.634
Asturias;Total;0 hijos conviviendo;117.188
Asturias;Total;1 hijo conviviendo;125.371
Asturias;Total;2 o más hijos conviviendo;64.722
Asturias;Total;0 hijos conviviendo menores de 25 años;183.370
Asturias;Total;1 hijo conviviendo menor de 25 años;75.348
Asturias;Total;2 hijos o más conviviendo menores de 25 años;48.563
Asturias;Total;Total;307.281
Asturias;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;97.050
Asturias;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;68.081
Asturias;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;45.797
Asturias;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;127.606
Asturias;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;47.439
Asturias;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;35.883
Asturias;Pareja casada, con o sin hijos convivientes;Total;210.928
Asturias;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;20.137
Asturias;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;7.424
Asturias;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;4.973
Asturias;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;20.775
Asturias;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;6.969
Asturias;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;4.790
Asturias;Pareja no casada, con o sin hijos convivientes;Total;32.534
Asturias;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Asturias;Padre sólo con hijos convivientes;1 hijo conviviendo;8.909
Asturias;Padre sólo con hijos convivientes;2 o más hijos conviviendo;2.328
Asturias;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;6.602
Asturias;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;3.229
Asturias;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;1.406
Asturias;Padre sólo con hijos convivientes;Total;11.237
Asturias;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Asturias;Madre sóla con hijos convivientes;1 hijo conviviendo;40.957
Asturias;Madre sóla con hijos convivientes;2 o más hijos conviviendo;11.624
Asturias;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;28.386
Asturias;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;17.712
Asturias;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;6.483
Asturias;Madre sóla con hijos convivientes;Total;52.581
Ávila;Total;0 hijos conviviendo;15.046
Ávila;Total;1 hijo conviviendo;16.754
Ávila;Total;2 o más hijos conviviendo;13.583
Ávila;Total;0 hijos conviviendo menores de 25 años;25.148
Ávila;Total;1 hijo conviviendo menor de 25 años;10.577
Ávila;Total;2 hijos o más conviviendo menores de 25 años;9.659
Ávila;Total;Total;45.383
Ávila;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;13.385
Ávila;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;9.586
Ávila;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;10.284
Ávila;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;19.050
Ávila;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;6.944
Ávila;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;7.260
Ávila;Pareja casada, con o sin hijos convivientes;Total;33.254
Ávila;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;1.662
Ávila;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;1.207
Ávila;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;1.297
Ávila;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;1.840
Ávila;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;1.155
Ávila;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;1.172
Ávila;Pareja no casada, con o sin hijos convivientes;Total;4.166
Ávila;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Ávila;Padre sólo con hijos convivientes;1 hijo conviviendo;1.480
Ávila;Padre sólo con hijos convivientes;2 o más hijos conviviendo;555
Ávila;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;1.104
Ávila;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;603
Ávila;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;328
Ávila;Padre sólo con hijos convivientes;Total;2.035
Ávila;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Ávila;Madre sóla con hijos convivientes;1 hijo conviviendo;4.480
Ávila;Madre sóla con hijos convivientes;2 o más hijos conviviendo;1.448
Ávila;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;3.153
Ávila;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;1.875
Ávila;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;899
Ávila;Madre sóla con hijos convivientes;Total;5.928
Badajoz;Total;0 hijos conviviendo;58.123
Badajoz;Total;1 hijo conviviendo;67.833
Badajoz;Total;2 o más hijos conviviendo;66.208
Badajoz;Total;0 hijos conviviendo menores de 25 años;95.001
Badajoz;Total;1 hijo conviviendo menor de 25 años;46.081
Badajoz;Total;2 hijos o más conviviendo menores de 25 años;51.082
Badajoz;Total;Total;192.163
Badajoz;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;49.730
Badajoz;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;40.546
Badajoz;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;54.571
Badajoz;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;72.075
Badajoz;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;30.083
Badajoz;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;42.689
Badajoz;Pareja casada, con o sin hijos convivientes;Total;144.848
Badajoz;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;8.393
Badajoz;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;7.111
Badajoz;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;3.650
Badajoz;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;8.564
Badajoz;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;7.160
Badajoz;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;3.430
Badajoz;Pareja no casada, con o sin hijos convivientes;Total;19.153
Badajoz;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Badajoz;Padre sólo con hijos convivientes;1 hijo conviviendo;4.738
Badajoz;Padre sólo con hijos convivientes;2 o más hijos conviviendo;1.343
Badajoz;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;3.579
Badajoz;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;2.031
Badajoz;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;470
Badajoz;Padre sólo con hijos convivientes;Total;6.080
Badajoz;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Badajoz;Madre sóla con hijos convivientes;1 hijo conviviendo;15.438
Badajoz;Madre sóla con hijos convivientes;2 o más hijos conviviendo;6.644
Badajoz;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;10.782
Badajoz;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;6.807
Badajoz;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;4.492
Badajoz;Madre sóla con hijos convivientes;Total;22.082
Balears, Illes;Total;0 hijos conviviendo;120.069
Balears, Illes;Total;1 hijo conviviendo;122.603
Balears, Illes;Total;2 o más hijos conviviendo;110.531
Balears, Illes;Total;0 hijos conviviendo menores de 25 años;181.803
Balears, Illes;Total;1 hijo conviviendo menor de 25 años;85.746
Balears, Illes;Total;2 hijos o más conviviendo menores de 25 años;85.655
Balears, Illes;Total;Total;353.203
Balears, Illes;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;84.352
Balears, Illes;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;66.486
Balears, Illes;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;81.663
Balears, Illes;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;118.149
Balears, Illes;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;51.766
Balears, Illes;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;62.587
Balears, Illes;Pareja casada, con o sin hijos convivientes;Total;232.502
Balears, Illes;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;35.716
Balears, Illes;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;12.943
Balears, Illes;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;13.624
Balears, Illes;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;37.059
Balears, Illes;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;12.587
Balears, Illes;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;12.637
Balears, Illes;Pareja no casada, con o sin hijos convivientes;Total;62.283
Balears, Illes;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Balears, Illes;Padre sólo con hijos convivientes;1 hijo conviviendo;6.954
Balears, Illes;Padre sólo con hijos convivientes;2 o más hijos conviviendo;2.787
Balears, Illes;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;4.697
Balears, Illes;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;3.839
Balears, Illes;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;1.205
Balears, Illes;Padre sólo con hijos convivientes;Total;9.740
Balears, Illes;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Balears, Illes;Madre sóla con hijos convivientes;1 hijo conviviendo;36.220
Balears, Illes;Madre sóla con hijos convivientes;2 o más hijos conviviendo;12.458
Balears, Illes;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;21.898
Balears, Illes;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;17.553
Balears, Illes;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;9.227
Balears, Illes;Madre sóla con hijos convivientes;Total;48.678
Barcelona;Total;0 hijos conviviendo;561.975
Barcelona;Total;1 hijo conviviendo;567.141
Barcelona;Total;2 o más hijos conviviendo;518.557
Barcelona;Total;0 hijos conviviendo menores de 25 años;820.161
Barcelona;Total;1 hijo conviviendo menor de 25 años;401.566
Barcelona;Total;2 hijos o más conviviendo menores de 25 años;425.947
Barcelona;Total;Total;1.647.674
Barcelona;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;416.510
Barcelona;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;286.010
Barcelona;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;355.213
Barcelona;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;551.153
Barcelona;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;213.589
Barcelona;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;292.991
Barcelona;Pareja casada, con o sin hijos convivientes;Total;1.057.734
Barcelona;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;145.465
Barcelona;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;61.039
Barcelona;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;59.403
Barcelona;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;148.348
Barcelona;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;60.559
Barcelona;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;56.999
Barcelona;Pareja no casada, con o sin hijos convivientes;Total;265.907
Barcelona;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Barcelona;Padre sólo con hijos convivientes;1 hijo conviviendo;47.392
Barcelona;Padre sólo con hijos convivientes;2 o más hijos conviviendo;19.589
Barcelona;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;18.312
Barcelona;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;33.420
Barcelona;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;15.249
Barcelona;Padre sólo con hijos convivientes;Total;66.981
Barcelona;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Barcelona;Madre sóla con hijos convivientes;1 hijo conviviendo;172.700
Barcelona;Madre sóla con hijos convivientes;2 o más hijos conviviendo;84.352
Barcelona;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;102.347
Barcelona;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;93.998
Barcelona;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;60.707
Barcelona;Madre sóla con hijos convivientes;Total;257.052
Bizkaia;Total;0 hijos conviviendo;118.873
Bizkaia;Total;1 hijo conviviendo;116.825
Bizkaia;Total;2 o más hijos conviviendo;96.399
Bizkaia;Total;0 hijos conviviendo menores de 25 años;175.511
Bizkaia;Total;1 hijo conviviendo menor de 25 años;79.330
Bizkaia;Total;2 hijos o más conviviendo menores de 25 años;77.255
Bizkaia;Total;Total;332.096
Bizkaia;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;97.813
Bizkaia;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;66.595
Bizkaia;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;70.101
Bizkaia;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;128.864
Bizkaia;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;47.633
Bizkaia;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;58.011
Bizkaia;Pareja casada, con o sin hijos convivientes;Total;234.509
