"A�o";"Mes";"Castilla-La Mancha";"Espa�a";"Albacete";"Ciudad Real";"Cuenca";"Guadalajara";"Toledo"
"2010";" Diciembre";293864.637;"-";54040.997;65522.107;25277.265;36382.346;112641.922
"2011";"Total";3242293.067;"-";589244.6790000001;787014.3109999999;258648.896;396610.7229999999;1210774.458
"2011";" Enero";403385.007;"-";71197.78600000001;107344.818;32592.716;47709.187;144540.5
"2011";" Febrero";354446.158;"-";65666.414;80706.798;28721.873;38292.235;141058.838
"2011";" Marzo";365009.015;"-";67839.89600000001;96541.985;28859.981;40812.486;130954.667
"2011";" Abril";266972.663;"-";50370.685;65154.459;22436.06;29051.822;99959.637
"2011";" Mayo";247392.782;"-";45994.066;59857.917;20790.901;32676.312;88073.586
"2011";" Junio";203249.235;"-";35723.723;47295.236;15862.826;26711.635;77655.815
"2011";" Julio";220171.136;"-";40404.457;52997.875;16238.019;28655.827;81874.958
"2011";" Agosto";233832.51;"-";41858.369;55545.472;17255.531;30168.988;89004.15000000001
"2011";" Septiembre";234393.347;"-";39035.357;59106.459;17685.8;31071.212;87494.519
"2011";" Octubre";216137.022;"-";42205.508;46581.566;17892.51;28383.311;81074.12700000001
"2011";" Noviembre";236562.43;"-";40076.677;61333.83;18321.292;30919.849;85910.78200000001
"2011";" Diciembre";260741.762;"-";48871.741;54547.896;21991.387;32157.859;103172.879
"2012";"Total";3175405.2;"-";570165.703;783789.746;251035.133;386561.1050000001;1183853.513
"2012";" Enero";343351.454;"-";61038.89;88631.42;29060.604;38872.515;125748.025
"2012";" Febrero";358604.289;"-";65487.46;87094.836;25583.308;38434.147;142004.538
"2012";" Marzo";362846.877;"-";61897.656;103617.331;28876.935;42435.425;126019.53
"2012";" Abril";276976.068;"-";52541.307;62873.553;23159.697;32750.8;105650.711
"2012";" Mayo";263078.028;"-";49143.13000000001;65336.528;22757.452;34241.45;91599.46800000001
"2012";" Junio";207856.521;"-";35006.978;49319.569;15814.625;26669.885;81045.46400000001
"2012";" Julio";232172.522;"-";40361.654;56230.03;17060.421;31311.691;87208.726
"2012";" Agosto";232053.079;"-";42983.558;53356.646;18352.106;28316.694;89044.075
"2012";" Septiembre";218845.931;"-";39210.183;58418.364;16041.153;28751.118;76425.113
"2012";" Octubre";209787.463;"-";38448.935;44449.52;16763.483;28761.815;81363.71000000001
"2012";" Noviembre";248518.871;"-";41354.068;66353.791;19953.491;30104.508;90753.01300000001
"2012";" Diciembre";221314.097;"-";42691.884;48108.158;17611.858;25911.057;86991.14
"2013";"Total";2981676.428999999;"-";540687.4339999999;719822.672;233229.962;369659.0470000001;1118277.314
"2013";" Enero";348284.817;"-";66658.478;87274.15700000001;28012.319;43383.01;122956.853
"2013";" Febrero";336894.357;"-";58294.784;86487.561;25267.754;36383.407;130460.851
"2013";" Marzo";308356.338;"-";54421.809;80097.568;24221.757;38308.519;111306.685
"2013";" Abril";234712.964;"-";45450.512;45159.495;20956.032;24438.966;98707.959
"2013";" Mayo";267522.258;"-";43023.383;77824.099;20551.964;36325.257;89797.55500000001
"2013";" Junio";186276.861;"-";36806.007;34064.981;15869.335;21697.397;77839.141
"2013";" Julio";238553.387;"-";38752.565;65946.957;16382.901;34111.531;83359.43300000001
"2013";" Agosto";198422.445;"-";39501.982;39223.853;15537.209;24559.127;79600.27400000001
"2013";" Septiembre";237244.124;"-";39200.638;67229.61;17095.998;29079.012;84638.866
"2013";" Octubre";205332.965;"-";36722.524;35933.391;17235.111;30234.548;85207.391
"2013";" Noviembre";224170.82;"-";38153.953;66959.817;15496.59;26850.574;76709.886
"2013";" Diciembre";195905.093;"-";43700.799;33621.183;16602.992;24287.699;77692.42
"2014";"Total";2850528.758;"-";515346.771;705967.2830000001;216510.792;361156.525;1051547.387
"2014";" Enero";379902.416;"-";62345.457;111243.542;23544.895;46165.825;136602.697
"2014";" Febrero";294339.8200000001;"-";62066.529;61988.288;25884.733;30139.064;114261.206
"2014";" Marzo";307442.81;"-";47577.481;87674.90000000001;24706.735;42204.374;105279.32
"2014";" Abril";223342.728;"-";47192.057;49067.973;17951.338;24934.552;84196.80800000001
"2014";" Mayo";230726.968;"-";39988.604;61825.106;17442.255;31508.456;79962.54700000001
"2014";" Junio";181277.308;"-";34954.387;38151.967;15358.591;21538.354;71274.00900000001
"2014";" Julio";201877.554;"-";34830.214;51123.621;14303.994;30413.896;71205.829
"2014";" Agosto";187620.788;"-";33315.729;42841.938;14665.835;24496.444;72300.842
